w_d,w_t,w_g,gt_mask,pred_mask,tp_mask,tn_mask,fp_mask,fn_mask
yeah,INTJ,yeah,1,0,0,0,0,1
you,PRN,,1,1,1,0,0,0
know,PRN,,1,1,1,0,0,0
we,NONE,,0,1,0,0,1,0
're,NONE,,0,1,0,0,1,0
kind,NONE,,0,1,0,0,1,0
of,NONE,,0,1,0,0,1,0
that,NONE,,0,1,0,0,1,0
way,NONE,,0,1,0,0,1,0
too,NONE,,0,1,0,0,1,0
i,NONE,,0,1,0,0,1,0
try,NONE,,0,1,0,0,1,0
to,NONE,,0,1,0,0,1,0
i,NONE,i,0,0,0,1,0,0
'm,NONE,'m,0,0,0,1,0,0
the,NONE,the,0,0,0,1,0,0
same,NONE,same,0,0,0,1,0,0
way,NONE,way,0,0,0,1,0,0
you,NONE,you,0,0,0,1,0,0
are,NONE,are,0,0,0,1,0,0
i,NONE,i,0,0,0,1,0,0
kind,NONE,kind,0,0,0,1,0,0
of,NONE,of,0,0,0,1,0,0
try,NONE,try,0,0,0,1,0,0
to,NONE,to,0,0,0,1,0,0
judge,NONE,judge,0,0,0,1,0,0
from,NONE,from,0,0,0,1,0,0
day,NONE,day,0,0,0,1,0,0
to,NONE,to,0,0,0,1,0,0
day,NONE,day,0,0,0,1,0,0
i,NONE,,0,1,0,0,1,0
know,NONE,,0,1,0,0,1,0
you,PRN,,1,1,1,0,0,0
know,PRN,,1,1,1,0,0,0
where,NONE,,0,1,0,0,1,0
i,NONE,,0,1,0,0,1,0
am,NONE,,0,1,0,0,1,0
we,NONE,,0,1,0,0,1,0
work,NONE,,0,1,0,0,1,0
a,NONE,,0,1,0,0,1,0
lot,NONE,,0,1,0,0,1,0
with,NONE,,0,1,0,0,1,0
the,NONE,,0,1,0,0,1,0
customers,NONE,,0,1,0,0,1,0
and,NONE,,0,1,0,0,1,0
we,NONE,,0,1,0,0,1,0
have,NONE,,0,1,0,0,1,0
a,NONE,,0,1,0,0,1,0
lot,NONE,,0,1,0,0,1,0
of,NONE,,0,1,0,0,1,0
government,NONE,,0,1,0,0,1,0
folks,NONE,,0,1,0,0,1,0
come,NONE,,0,1,0,0,1,0
in,NONE,,0,1,0,0,1,0
all,NONE,,0,1,0,0,1,0
the,NONE,,0,1,0,0,1,0
time,NONE,,0,1,0,0,1,0
and,EDITED,,1,1,1,0,0,0
and,NONE,,0,1,0,0,1,0
you,PRN,,1,1,1,0,0,0
know,PRN,,1,1,1,0,0,0
if,NONE,,0,1,0,0,1,0
i,NONE,,0,1,0,0,1,0
know,NONE,,0,1,0,0,1,0
that,NONE,,0,1,0,0,1,0
they,NONE,,0,1,0,0,1,0
're,NONE,,0,1,0,0,1,0
going,NONE,,0,1,0,0,1,0
to,NONE,,0,1,0,0,1,0
be,NONE,,0,1,0,0,1,0
there,NONE,,0,1,0,0,1,0
you,PRN,,1,1,1,0,0,0
know,PRN,,1,1,1,0,0,0
you,EDITED,,1,1,1,0,0,0
i,NONE,,0,1,0,0,1,0
try,NONE,,0,1,0,0,1,0
to,NONE,,0,1,0,0,1,0
really,NONE,,0,1,0,0,1,0
watch,NONE,,0,1,0,0,1,0
it,NONE,,0,1,0,0,1,0
and,NONE,,0,1,0,0,1,0
like,NONE,,0,1,0,0,1,0
you,NONE,,0,1,0,0,1,0
say,NONE,,0,1,0,0,1,0
you,PRN,,1,1,1,0,0,0
know,PRN,,1,1,1,0,0,0
really,NONE,,0,1,0,0,1,0
dress,NONE,,0,1,0,0,1,0
up,NONE,,0,1,0,0,1,0
