w_d,w_t,w_g,gt_mask,pred_mask,tp_mask,tn_mask,fp_mask,fn_mask
uh-huh,INTJ,,1,1,1,0,0,0
i,NONE,i,0,0,0,1,0,0
also,NONE,also,0,0,0,1,0,0
thought,NONE,thought,0,0,0,1,0,0
about,NONE,about,0,0,0,1,0,0
it,NONE,it,0,0,0,1,0,0
was,EDITED,was,1,0,0,0,0,1
of,EDITED,,1,1,1,0,0,0
uh,INTJ,,1,1,1,0,0,0
,,i,*,*,*,*,*,*
,,as,*,*,*,*,*,*
waiting,NONE,waiting,0,0,0,1,0,0
to,NONE,to,0,0,0,1,0,0
talk,NONE,talk,0,0,0,1,0,0
to,NONE,to,0,0,0,1,0,0
you,NONE,you,0,0,0,1,0,0
that,NONE,that,0,0,0,1,0,0
another,NONE,another,0,0,0,1,0,0
thing,NONE,thing,0,0,0,1,0,0
that,NONE,that,0,0,0,1,0,0
occurred,NONE,occurred,0,0,0,1,0,0
to,NONE,to,0,0,0,1,0,0
me,NONE,me,0,0,0,1,0,0
is,NONE,is,0,0,0,1,0,0
there,NONE,there,0,0,0,1,0,0
is,NONE,,0,1,0,0,1,0
,,'s,*,*,*,*,*,*
not,NONE,not,0,0,0,1,0,0
so,NONE,so,0,0,0,1,0,0
much,NONE,much,0,0,0,1,0,0
invasion,NONE,invasion,0,0,0,1,0,0
of,NONE,of,0,0,0,1,0,0
my,NONE,my,0,0,0,1,0,0
privacy,NONE,privacy,0,0,0,1,0,0
because,NONE,because,0,0,0,1,0,0
i,NONE,i,0,0,0,1,0,0
know,NONE,know,0,0,0,1,0,0
how,NONE,how,0,0,0,1,0,0
to,NONE,to,0,0,0,1,0,0
behave,NONE,behave,0,0,0,1,0,0
such,NONE,such,0,0,0,1,0,0
that,NONE,that,0,0,0,1,0,0
there,NONE,there,0,0,0,1,0,0
is,NONE,is,0,0,0,1,0,0
n't,NONE,n't,0,0,0,1,0,0
but,NONE,but,0,0,0,1,0,0
i,NONE,i,0,0,0,1,0,0
realized,NONE,realized,0,0,0,1,0,0
i,NONE,i,0,0,0,1,0,0
have,NONE,have,0,0,0,1,0,0
to,NONE,to,0,0,0,1,0,0
behave,NONE,behave,0,0,0,1,0,0
in,NONE,in,0,0,0,1,0,0
a,NONE,a,0,0,0,1,0,0
certain,NONE,certain,0,0,0,1,0,0
way,NONE,way,0,0,0,1,0,0
in,NONE,in,0,0,0,1,0,0
order,NONE,order,0,0,0,1,0,0
to,NONE,to,0,0,0,1,0,0
not,NONE,not,0,0,0,1,0,0
have,NONE,have,0,0,0,1,0,0
people,NONE,people,0,0,0,1,0,0
invade,NONE,invade,0,0,0,1,0,0
my,NONE,my,0,0,0,1,0,0
privacy,NONE,privacy,0,0,0,1,0,0
if,NONE,if,0,0,0,1,0,0
i,NONE,i,0,0,0,1,0,0
deviate,NONE,deviate,0,0,0,1,0,0
from,NONE,from,0,0,0,1,0,0
social,NONE,social,0,0,0,1,0,0
norms,NONE,norms,0,0,0,1,0,0
of,NONE,of,0,0,0,1,0,0
behavior,NONE,behavior,0,0,0,1,0,0
if,NONE,if,0,0,0,1,0,0
i,NONE,i,0,0,0,1,0,0
run,NONE,run,0,0,0,1,0,0
up,NONE,up,0,0,0,1,0,0
and,NONE,and,0,0,0,1,0,0
down,NONE,down,0,0,0,1,0,0
the,NONE,the,0,0,0,1,0,0
street,NONE,street,0,0,0,1,0,0
yelling,NONE,yelling,0,0,0,1,0,0
or,NONE,or,0,0,0,1,0,0
something,NONE,something,0,0,0,1,0,0
someone,NONE,someone,0,0,0,1,0,0
's,NONE,'s,0,0,0,1,0,0
going,NONE,going,0,0,0,1,0,0
to,NONE,to,0,0,0,1,0,0
invade,NONE,invade,0,0,0,1,0,0
my,NONE,my,0,0,0,1,0,0
privacy,NONE,privacy,0,0,0,1,0,0
very,NONE,,0,1,0,0,1,0
quickly,NONE,,0,1,0,0,1,0
