w_d,w_t,w_g,gt_mask,pred_mask,tp_mask,tn_mask,fp_mask,fn_mask
i,PRN,i,1,0,0,0,0,1
mean,PRN,mean,1,0,0,0,0,1
uh,INTJ,,1,1,1,0,0,0
it,NONE,,0,1,0,0,1,0
's,NONE,,0,1,0,0,1,0
money,NONE,money,0,0,0,1,0,0
seems,NONE,seems,0,0,0,1,0,0
to,NONE,to,0,0,0,1,0,0
be,NONE,be,0,0,0,1,0,0
too,NONE,too,0,0,0,1,0,0
big,NONE,big,0,0,0,1,0,0
of,NONE,of,0,0,0,1,0,0
an,NONE,,0,1,0,0,1,0
issue,NONE,,0,1,0,0,1,0
with,EDITED,,1,1,1,0,0,0
with,EDITED,,1,1,1,0,0,0
with,EDITED,,1,1,1,0,0,0
,,problem,*,*,*,*,*,*
,,a,*,*,*,*,*,*
with,NONE,with,0,0,0,1,0,0
what,NONE,what,0,0,0,1,0,0
's,NONE,'s,0,0,0,1,0,0
going,NONE,going,0,0,0,1,0,0
on,NONE,on,0,0,0,1,0,0
today,NONE,today,0,0,0,1,0,0
