w_d,w_t,w_g,gt_mask,pred_mask,tp_mask,tn_mask,fp_mask,fn_mask
or,NONE,or,0,0,0,1,0,0
a,NONE,a,0,0,0,1,0,0
lot,NONE,lot,0,0,0,1,0,0
of,NONE,of,0,0,0,1,0,0
women,NONE,women,0,0,0,1,0,0
i,NONE,i,0,0,0,1,0,0
know,NONE,know,0,0,0,1,0,0
now,NONE,now,0,0,0,1,0,0
and,NONE,,0,1,0,0,1,0
my,EDITED,,1,1,1,0,0,0
uh,INTJ,,1,1,1,0,0,0
one,NONE,one,0,0,0,1,0,0
of,NONE,of,0,0,0,1,0,0
my,NONE,my,0,0,0,1,0,0
supervisors,NONE,supervisors,0,0,0,1,0,0
when,NONE,when,0,0,0,1,0,0
she,NONE,she,0,0,0,1,0,0
went,NONE,went,0,0,0,1,0,0
on,NONE,on,0,0,0,1,0,0
l,NONE,,0,1,0,0,1,0
o,NONE,,0,1,0,0,1,0
a,NONE,,0,1,0,0,1,0
,,loa,*,*,*,*,*,*
to,NONE,to,0,0,0,1,0,0
have,NONE,have,0,0,0,1,0,0
her,NONE,her,0,0,0,1,0,0
baby,NONE,baby,0,0,0,1,0,0
we,NONE,we,0,0,0,1,0,0
hooked,NONE,hooked,0,0,0,1,0,0
up,NONE,up,0,0,0,1,0,0
uh,INTJ,,1,1,1,0,0,0
uh,INTJ,,1,1,1,0,0,0
a,NONE,a,0,0,0,1,0,0
terminal,NONE,terminal,0,0,0,1,0,0
at,NONE,at,0,0,0,1,0,0
her,NONE,her,0,0,0,1,0,0
house,NONE,house,0,0,0,1,0,0
and,NONE,and,0,0,0,1,0,0
she,EDITED,,1,1,1,0,0,0
you,PRN,,1,1,1,0,0,0
know,PRN,,1,1,1,0,0,0
we,NONE,we,0,0,0,1,0,0
could,NONE,could,0,0,0,1,0,0
send,NONE,send,0,0,0,1,0,0
her,NONE,her,0,0,0,1,0,0
messages,NONE,messages,0,0,0,1,0,0
and,EDITED,,1,1,1,0,0,0
and,NONE,and,0,0,0,1,0,0
she,NONE,she,0,0,0,1,0,0
kept,NONE,kept,0,0,0,1,0,0
in,NONE,in,0,0,0,1,0,0
touch,NONE,touch,0,0,0,1,0,0
like,NONE,like,0,0,0,1,0,0
that,NONE,that,0,0,0,1,0,0
and,NONE,,0,1,0,0,1,0
basically,NONE,,0,1,0,0,1,0
just,NONE,,0,1,0,0,1,0
worked,NONE,,0,1,0,0,1,0
out,NONE,,0,1,0,0,1,0
of,NONE,,0,1,0,0,1,0
her,NONE,,0,1,0,0,1,0
house,NONE,,0,1,0,0,1,0
