w_d,w_t,w_g,gt_mask,pred_mask,tp_mask,tn_mask,fp_mask,fn_mask
yeah,INTJ,yeah,1,0,0,0,0,1
but,NONE,but,0,0,0,1,0,0
uh,INTJ,,1,1,1,0,0,0
i,EDITED,,1,1,1,0,0,0
i,EDITED,,1,1,1,0,0,0
i,NONE,i,0,0,0,1,0,0
think,NONE,think,0,0,0,1,0,0
that,NONE,that,0,0,0,1,0,0
you,PRN,you,1,0,0,0,0,1
know,PRN,know,1,0,0,0,0,1
we,EDITED,we,1,0,0,0,0,1
always,EDITED,always,1,0,0,0,0,1
uh,INTJ,,1,1,1,0,0,0
i,PRN,i,1,0,0,0,0,1
mean,PRN,mean,1,0,0,0,0,1
i,EDITED,,1,1,1,0,0,0
've,EDITED,,1,1,1,0,0,0
,,--,*,*,*,*,*,*
i,NONE,i,0,0,0,1,0,0
've,NONE,'ve,0,0,0,1,0,0
had,NONE,had,0,0,0,1,0,0
a,NONE,a,0,0,0,1,0,0
lot,NONE,lot,0,0,0,1,0,0
of,NONE,of,0,0,0,1,0,0
good,NONE,good,0,0,0,1,0,0
experiences,NONE,experiences,0,0,0,1,0,0
with,EDITED,,1,1,1,0,0,0
uh,INTJ,,1,1,1,0,0,0
with,NONE,with,0,0,0,1,0,0
many,EDITED,many,1,0,0,0,0,1
many,NONE,many,0,0,0,1,0,0
people,NONE,people,0,0,0,1,0,0
especially,NONE,especially,0,0,0,1,0,0
where,NONE,where,0,0,0,1,0,0
they,NONE,they,0,0,0,1,0,0
've,NONE,'ve,0,0,0,1,0,0
had,NONE,had,0,0,0,1,0,0
uh,INTJ,,1,1,1,0,0,0
extended,NONE,extended,0,0,0,1,0,0
family,NONE,family,0,0,0,1,0,0
and,EDITED,,1,1,1,0,0,0
i,EDITED,,1,1,1,0,0,0
and,NONE,and,0,0,0,1,0,0
i,EDITED,,1,1,1,0,0,0
i,NONE,i,0,0,0,1,0,0
kind,NONE,kind,0,0,0,1,0,0
of,NONE,of,0,0,0,1,0,0
see,NONE,see,0,0,0,1,0,0
that,EDITED,,1,1,1,0,0,0
that,NONE,that,0,0,0,1,0,0
you,PRN,,1,1,1,0,0,0
know,PRN,,1,1,1,0,0,0
perhaps,NONE,perhaps,0,0,0,1,0,0
you,PRN,,1,1,1,0,0,0
know,PRN,,1,1,1,0,0,0
we,NONE,we,0,0,0,1,0,0
may,NONE,may,0,0,0,1,0,0
need,NONE,need,0,0,0,1,0,0
to,NONE,to,0,0,0,1,0,0
like,INTJ,,1,1,1,0,0,0
get,NONE,get,0,0,0,1,0,0
close,NONE,close,0,0,0,1,0,0
to,NONE,to,0,0,0,1,0,0
the,NONE,the,0,0,0,1,0,0
family,NONE,family,0,0,0,1,0,0
environment,NONE,environment,0,0,0,1,0,0
and,EDITED,,1,1,1,0,0,0
and,NONE,and,0,0,0,1,0,0
get,NONE,get,0,0,0,1,0,0
down,NONE,down,0,0,0,1,0,0
to,NONE,to,0,0,0,1,0,0
the,NONE,the,0,0,0,1,0,0
values,NONE,values,0,0,0,1,0,0
of,NONE,,0,1,0,0,1,0
you,PRN,,1,1,1,0,0,0
know,PRN,,1,1,1,0,0,0
